iter	MultiClass
0	1.057578056
1	1.023205504
2	0.9934197228
3	0.9667545287
4	0.9446720521
5	0.9212923276
6	0.9047656222
7	0.8875139891
8	0.8726471832
9	0.8578916912
10	0.8427893581
11	0.8275423032
12	0.8128587211
13	0.8023732487
14	0.7930484925
15	0.783390232
16	0.7759194818
17	0.7692771837
18	0.7617635246
19	0.7548060488
20	0.7476287826
21	0.739673668
22	0.7338011487
23	0.7282359099
24	0.722027715
25	0.7170230775
26	0.7120800974
27	0.7080832566
28	0.7048760463
29	0.7010983424
30	0.6953149384
31	0.6910155477
32	0.6855978883
33	0.6805427822
34	0.677707018
35	0.675448627
36	0.6734092604
37	0.6714321199
38	0.6671083897
39	0.6640769064
40	0.6594943598
41	0.6564236692
42	0.6532042192
43	0.6497350511
44	0.6477653411
45	0.645107953
46	0.6415574053
47	0.6397055014
48	0.6365561817
49	0.633010794
50	0.631311155
51	0.6295169455
52	0.6263991783
53	0.6237923932
54	0.6217151199
55	0.6191897179
56	0.6180278608
57	0.6148142419
58	0.6131507448
59	0.6103648866
60	0.6083800317
61	0.606340026
62	0.6036111661
63	0.6013684986
64	0.5986501806
65	0.595026267
66	0.5933054566
67	0.5913365957
68	0.5896060808
69	0.5875618951
70	0.5857374979
71	0.584178115
72	0.5822217361
73	0.5808492938
74	0.5792971815
75	0.5784164813
76	0.5767656521
77	0.5761080567
78	0.5748493566
79	0.5725146974
80	0.5701069516
81	0.5686103221
82	0.5666101977
83	0.5651509197
84	0.5635573797
85	0.5608467385
86	0.5597656033
87	0.5581089707
88	0.5560187454
89	0.5538470528
90	0.5509176963
91	0.5495406152
92	0.5485380151
93	0.5466748097
94	0.5448817367
95	0.5418656409
96	0.5408700553
97	0.5390994045
98	0.5380938969
99	0.536030806
100	0.5337402701
101	0.5319098349
102	0.5303847142
103	0.5290998381
104	0.5274194099
105	0.5246230717
106	0.522755766
107	0.522188401
108	0.5214447039
109	0.5214214338
110	0.5200376182
111	0.5180887157
112	0.515962853
113	0.5139675576
114	0.5127440175
115	0.5108335469
116	0.5088813859
117	0.5065341067
118	0.5058697858
119	0.504183697
120	0.5033860514
121	0.5013157532
122	0.5000374517
123	0.4981054662
124	0.4960800012
125	0.494835624
126	0.4928454829
127	0.4909730971
128	0.4890283733
129	0.4874946336
130	0.486047653
131	0.4840033403
132	0.4823046103
133	0.4814359508
134	0.4803185628
135	0.4798211504
136	0.4786569967
137	0.4763855099
138	0.4755813807
139	0.4736639391
140	0.4728582702
141	0.4718988541
142	0.4710627351
143	0.4701012986
144	0.468867863
145	0.4679627793
146	0.4665817608
147	0.4654438669
148	0.4653038488
149	0.4641209483
150	0.4633245957
151	0.4622455922
152	0.4608138675
153	0.4600746048
154	0.4584668613
155	0.4576407727
156	0.4569859766
157	0.4554111524
158	0.4546665824
159	0.4544512929
160	0.4538182518
161	0.4532546457
162	0.4522981062
163	0.4508620393
164	0.4501953237
165	0.449020909
166	0.4480624661
167	0.4467535643
168	0.4447163141
169	0.4443594146
170	0.4434634889
171	0.4421497563
172	0.4414877504
173	0.439661145
174	0.4383630676
