iter	Passed	Remaining
0	168	168038
1	189	94594
2	212	70673
3	236	58777
4	259	51636
5	286	47463
6	308	43725
7	328	40763
8	349	38516
9	371	36782
10	393	35401
11	417	34372
12	437	33231
13	460	32449
14	482	31664
15	502	30918
16	521	30176
17	539	29455
18	562	29057
19	586	28735
20	610	28460
21	631	28078
22	652	27718
23	673	27402
24	694	27080
25	713	26734
26	732	26401
27	753	26145
28	759	25440
29	780	25224
30	801	25051
31	821	24855
32	843	24702
33	862	24504
34	885	24404
35	905	24247
36	916	23859
37	927	23472
38	946	23329
39	966	23199
40	987	23100
41	1007	22986
42	1030	22923
43	1050	22830
44	1069	22698
45	1089	22598
46	1109	22501
47	1130	22416
48	1152	22369
49	1174	22311
50	1194	22236
51	1215	22162
52	1236	22099
53	1258	22039
54	1279	21975
55	1298	21895
56	1316	21782
57	1334	21681
58	1355	21614
59	1375	21556
60	1396	21498
61	1414	21399
62	1433	21316
63	1455	21281
64	1474	21214
65	1493	21136
66	1517	21126
67	1536	21058
68	1553	20967
69	1572	20894
70	1590	20807
71	1609	20739
72	1627	20670
73	1646	20604
74	1665	20544
75	1672	20331
76	1694	20309
77	1712	20245
78	1731	20184
79	1750	20133
80	1775	20148
81	1797	20128
82	1820	20117
83	1842	20095
84	1864	20072
85	1886	20046
86	1907	20012
87	1927	19980
88	1949	19951
89	1971	19937
90	1993	19916
91	2013	19875
92	2034	19837
93	2054	19797
94	2074	19759
95	2094	19727
96	2106	19608
97	2126	19569
98	2148	19556
99	2167	19511
100	2187	19470
101	2212	19478
102	2231	19432
103	2253	19413
104	2273	19380
105	2291	19328
106	2309	19278
107	2329	19240
108	2350	19211
109	2371	19189
110	2391	19154
111	2409	19107
112	2431	19085
113	2452	19058
114	2473	19035
115	2495	19019
116	2514	18973
117	2532	18928
118	2551	18890
119	2571	18857
120	2591	18824
121	2613	18811
122	2635	18788
123	2656	18767
124	2678	18749
125	2699	18727
126	2719	18696
127	2740	18670
128	2764	18667
129	2789	18668
130	2810	18642
131	2829	18607
132	2848	18566
133	2868	18539
134	2888	18508
135	2909	18486
136	2930	18462
137	2951	18435
138	2971	18404
139	2994	18396
140	3015	18368
141	3034	18335
142	3055	18314
143	3076	18286
144	3097	18266
145	3119	18245
146	3140	18225
147	3162	18203
148	3182	18174
149	3201	18140
150	3220	18105
151	3240	18080
152	3270	18104
153	3293	18094
154	3315	18072
155	3338	18064
156	3359	18037
157	3379	18009
158	3397	17972
159	3417	17942
160	3438	17916
161	3458	17887
162	3480	17873
163	3501	17847
164	3519	17812
165	3537	17773
166	3556	17742
167	3575	17708
168	3594	17673
169	3612	17636
170	3630	17601
171	3652	17582
172	3671	17551
173	3689	17516
174	3709	17486
175	3726	17448
176	3748	17427
177	3769	17407
178	3788	17376
179	3806	17341
180	3826	17312
181	3844	17280
182	3864	17253
183	3889	17248
184	3911	17231
185	3934	17216
186	3957	17207
187	3980	17190
188	4000	17166
189	4021	17143
190	4041	17118
191	4062	17098
192	4084	17076
193	4105	17058
194	4135	17072
195	4159	17064
196	4186	17062
197	4210	17053
198	4232	17037
199	4254	17019
200	4275	16994
201	4296	16974
202	4317	16951
203	4338	16928
204	4358	16902
205	4378	16877
206	4405	16878
207	4426	16854
208	4446	16829
209	4465	16799
210	4486	16776
211	4505	16748
212	4526	16725
213	4548	16705
214	4569	16684
215	4592	16667
216	4614	16648
217	4636	16630
218	4657	16611
219	4679	16592
220	4698	16561
221	4719	16538
222	4738	16511
223	4757	16480
224	4777	16457
225	4798	16432
226	4817	16405
227	4838	16384
228	4859	16362
229	4882	16345
230	4905	16330
231	4929	16317
232	4952	16301
233	4959	16234
234	4982	16220
235	5008	16214
236	5029	16192
237	5052	16177
238	5076	16164
239	5098	16145
240	5120	16125
241	5142	16106
242	5162	16080
243	5182	16057
244	5203	16033
245	5223	16011
246	5248	16000
247	5274	15992
248	5294	15967
249	5313	15940
250	5332	15912
251	5353	15889
252	5374	15869
253	5396	15848
254	5416	15826
255	5437	15802
256	5456	15773
257	5475	15746
258	5495	15723
259	5514	15694
260	5533	15668
261	5553	15642
262	5573	15618
263	5597	15605
264	5620	15588
265	5643	15572
266	5668	15561
267	5694	15554
268	5724	15556
269	5761	15578
270	5787	15568
271	5809	15549
272	5829	15523
273	5852	15508
274	5879	15499
275	5905	15491
276	5925	15465
277	5945	15442
278	5966	15418
279	5986	15392
280	6009	15377
281	6032	15359
282	6055	15341
283	6075	15316
284	6098	15298
285	6118	15273
286	6144	15264
287	6163	15238
288	6186	15218
289	6208	15200
290	6232	15184
291	6255	15167
292	6279	15151
293	6303	15136
294	6324	15114
295	6346	15093
296	6370	15080
297	6401	15079
298	6428	15070
299	6453	15057
300	6480	15048
301	6505	15036
302	6528	15018
303	6540	14974
304	6561	14951
305	6584	14933
306	6606	14912
307	6627	14890
308	6646	14862
309	6665	14836
310	6685	14811
311	6704	14784
312	6723	14757
313	6745	14735
314	6765	14713
315	6785	14687
316	6804	14660
317	6824	14636
318	6844	14610
319	6864	14586
320	6887	14568
321	6908	14547
322	6931	14527
323	6952	14505
324	6974	14486
325	6997	14468
326	7019	14446
327	7041	14426
328	7064	14408
329	7086	14388
330	7108	14368
331	7130	14347
