iter	Accuracy	Logloss
0	0.7786885246	0.6887448413
1	0.7878918608	0.6847360304
2	0.7841530055	0.6810478031
3	0.7831463906	0.6770427923
4	0.7876042565	0.6730544577
5	0.7860224331	0.6691957834
6	0.7850158182	0.6652445469
7	0.7860224331	0.6613700353
8	0.7871728502	0.65766521
9	0.7781133161	0.6542217061
10	0.7868852459	0.6504580564
11	0.7871728502	0.6468810448
12	0.7878918608	0.6434950901
13	0.7878918608	0.6403039277
14	0.7883232672	0.6372954351
15	0.78918608	0.6339283141
16	0.7888984757	0.630787143
17	0.7890422778	0.627628437
18	0.7837215991	0.6244700343
19	0.7837215991	0.6215196884
20	0.78918608	0.6184102266
21	0.7883232672	0.6158403277
22	0.7884670693	0.6128790881
23	0.7887546736	0.6103135049
24	0.7840092033	0.6076869343
25	0.7910555076	0.6049431419
26	0.7894736842	0.6026198374
27	0.7910555076	0.5998567724
28	0.7910555076	0.5976353416
29	0.790336497	0.5951544319
30	0.7911993097	0.5924238164
31	0.7913431119	0.590366091
32	0.7924935289	0.5878253234
33	0.7927811332	0.5855397463
34	0.7920621225	0.58346947
35	0.7924935289	0.5811275144
36	0.7936439459	0.5787446437
37	0.7946505608	0.5762612018
38	0.7943629566	0.5744361823
39	0.7956571757	0.5726061753
40	0.7963761864	0.5707427098
41	0.7962323842	0.5687770449
42	0.7966637906	0.5668254771
43	0.7946505608	0.5644135761
44	0.7946505608	0.5626527775
45	0.7969513949	0.5610446489
46	0.7958009779	0.5596192769
47	0.7962323842	0.557667756
48	0.7968075928	0.5559774143
49	0.7968075928	0.5540367477
50	0.7976704055	0.5523447128
51	0.7979580098	0.5504521311
52	0.7975266034	0.5489805066
53	0.7981018119	0.5474761752
54	0.7996836353	0.5460396535
55	0.7995398332	0.5445967261
56	0.7996836353	0.5430563601
57	0.7993960311	0.541511162
58	0.7993960311	0.5396196617
59	0.7989646247	0.5383000801
60	0.7988208225	0.5369353554
61	0.7988208225	0.5349129407
62	0.7989646247	0.5332912623
63	0.7992522289	0.5319952317
64	0.7991084268	0.5305944878
65	0.8001150417	0.5293618646
66	0.7996836353	0.5278652948
67	0.7993960311	0.5264909136
68	0.7998274374	0.5253321216
69	0.7999712396	0.5239405787
70	0.7998274374	0.5225977442
71	0.8001150417	0.5214352891
72	0.8001150417	0.5201829964
73	0.8002588438	0.5190663979
74	0.7996836353	0.51800813
75	0.8002588438	0.5168439228
76	0.7998274374	0.5158035486
77	0.7996836353	0.5148613706
78	0.7999712396	0.5132046049
79	0.7995398332	0.5121519841
80	0.7999712396	0.5111733416
81	0.7998274374	0.510146606
82	0.7992522289	0.5087524582
83	0.7993960311	0.5077607846
84	0.7993960311	0.5069014824
85	0.7999712396	0.5055801084
86	0.8005464481	0.5047740025
87	0.8002588438	0.5039407737
88	0.8002588438	0.5031841343
89	0.8001150417	0.5023258049
90	0.7996836353	0.501287477
91	0.7998274374	0.5003902415
92	0.7995398332	0.4995941581
93	0.7998274374	0.4985894103
94	0.7999712396	0.4978512535
95	0.8002588438	0.497058473
96	0.8002588438	0.4960767107
97	0.8002588438	0.4953706406
98	0.800402646	0.4946273459
99	0.8002588438	0.4937667096
100	0.8005464481	0.492955718
101	0.800402646	0.4924027131
102	0.8009778545	0.491308142
103	0.8006902502	0.490480394
104	0.800402646	0.4897152939
105	0.800402646	0.4886614463
106	0.800402646	0.4879393696
107	0.8002588438	0.4869726414
108	0.7999712396	0.4864377031
109	0.7999712396	0.4858256818
110	0.8001150417	0.4851202539
111	0.8002588438	0.484087188
112	0.8002588438	0.4831944435
113	0.8006902502	0.4824388858
114	0.8009778545	0.4814596751
115	0.8009778545	0.4807871599
116	0.8009778545	0.4801482897
117	0.8009778545	0.4793386139
118	0.8012654587	0.4783734278
119	0.8014092609	0.477743234
