iter	Passed	Remaining
0	21	64135
1	27	40973
2	32	32364
3	38	28832
4	44	26394
5	50	24964
6	55	23853
7	61	23104
8	66	22259
9	72	21562
10	77	21095
11	82	20567
12	87	20209
13	93	19979
14	98	19635
15	104	19465
16	109	19270
17	114	18983
18	120	18917
19	126	18814
20	131	18711
21	137	18672
22	143	18536
23	147	18331
24	153	18225
25	158	18180
26	164	18168
27	170	18137
28	176	18107
29	182	18109
30	188	18082
31	194	18015
32	200	17987
33	204	17876
34	210	17817
35	215	17768
36	220	17654
37	225	17594
38	231	17553
39	236	17516
40	242	17487
41	247	17453
42	252	17373
43	257	17302
44	262	17247
45	267	17169
46	272	17138
47	278	17103
48	283	17072
49	289	17085
50	295	17075
51	301	17084
52	306	17067
53	312	17038
54	317	16989
55	322	16964
56	327	16923
57	332	16866
58	338	16892
59	345	16911
60	350	16898
61	356	16881
62	362	16877
63	367	16853
64	372	16818
65	377	16788
66	382	16760
67	387	16711
68	392	16686
69	397	16652
70	403	16652
71	408	16631
72	414	16605
73	419	16586
74	424	16566
75	429	16529
76	435	16513
77	440	16485
78	444	16447
79	450	16433
80	454	16392
81	460	16378
82	465	16365
83	470	16333
84	476	16329
85	481	16306
86	486	16288
87	492	16294
88	497	16275
89	502	16249
90	508	16249
91	513	16236
92	519	16243
93	525	16233
94	531	16238
95	536	16233
96	542	16233
97	548	16243
98	553	16229
99	559	16213
100	565	16223
101	570	16221
102	575	16200
103	582	16216
104	587	16207
105	592	16189
106	599	16210
107	606	16245
108	612	16258
109	618	16249
110	624	16255
111	630	16268
112	636	16271
113	643	16288
114	649	16301
115	656	16310
116	663	16346
117	669	16350
118	675	16362
119	681	16365
120	688	16381
121	694	16394
122	702	16434
123	708	16423
124	714	16425
125	720	16435
126	727	16465
127	733	16463
128	739	16455
129	745	16455
130	751	16454
131	756	16436
132	762	16440
133	769	16458
134	776	16475
135	782	16473
136	787	16467
137	793	16464
138	801	16491
139	807	16503
140	813	16496
141	819	16484
142	825	16493
143	832	16521
144	839	16526
145	845	16536
146	851	16532
147	859	16557
148	865	16567
149	871	16561
150	877	16559
151	883	16546
152	889	16553
153	895	16552
154	900	16536
155	910	16594
156	915	16586
157	922	16602
158	930	16628
159	936	16627
160	943	16636
161	949	16627
162	955	16626
163	962	16649
164	969	16660
165	976	16672
166	982	16662
167	988	16666
168	995	16672
169	1000	16658
170	1006	16656
171	1013	16671
172	1020	16671
173	1027	16681
174	1034	16703
175	1041	16717
176	1047	16714
177	1055	16736
178	1061	16733
179	1069	16750
180	1077	16778
181	1083	16779
182	1091	16808
183	1099	16832
184	1106	16840
185	1115	16877
186	1163	17495
187	1175	17582
188	1196	17788
189	1223	18101
190	1233	18143
191	1241	18159
192	1248	18157
193	1264	18282
194	1271	18282
195	1277	18272
196	1284	18272
197	1290	18263
198	1298	18283
199	1306	18288
200	1314	18298
201	1322	18313
202	1328	18305
203	1336	18315
204	1344	18327
205	1351	18333
206	1357	18320
207	1365	18330
208	1371	18311
209	1378	18308
210	1384	18303
211	1391	18293
212	1397	18291
213	1403	18273
214	1412	18297
215	1420	18307
216	1427	18308
217	1435	18314
218	1443	18330
219	1450	18325
220	1457	18327
221	1465	18333
222	1472	18332
223	1479	18331
224	1486	18333
225	1493	18328
226	1500	18329
227	1507	18332
228	1514	18327
229	1522	18332
230	1528	18328
231	1536	18331
232	1543	18327
233	1549	18318
234	1556	18317
235	1564	18327
236	1572	18328
237	1578	18314
238	1585	18316
239	1590	18294
240	1598	18295
241	1604	18287
242	1610	18277
243	1617	18266
244	1627	18295
245	1637	18335
246	1646	18356
247	1656	18377
248	1662	18371
249	1669	18369
250	1677	18367
251	1683	18358
252	1690	18356
253	1696	18343
254	1704	18347
255	1710	18338
256	1718	18338
257	1725	18338
258	1733	18342
259	1740	18344
260	1746	18333
261	1753	18320
262	1759	18315
263	1766	18312
264	1774	18309
265	1780	18303
266	1787	18293
267	1793	18282
268	1800	18277
269	1807	18272
270	1814	18274
271	1821	18269
272	1827	18258
273	1833	18245
274	1840	18236
275	1846	18228
276	1853	18221
277	1859	18207
278	1865	18191
279	1871	18178
280	1876	18161
281	1883	18150
282	1888	18131
283	1894	18120
284	1901	18111
285	1907	18102
286	1914	18096
287	1921	18092
288	1928	18092
289	1935	18090
290	1942	18081
291	1948	18065
292	1954	18060
293	1961	18056
294	1969	18058
295	1976	18058
296	1984	18057
297	1992	18064
298	2001	18077
299	2009	18082
300	2015	18075
301	2023	18076
302	2029	18065
303	2036	18058
304	2042	18046
305	2048	18038
306	2055	18027
307	2061	18013
308	2067	18005
309	2074	17997
310	2081	17994
311	2088	17994
312	2094	17982
313	2100	17971
314	2107	17963
315	2113	17951
316	2120	17945
317	2127	17942
318	2135	17944
319	2140	17927
320	2146	17913
321	2153	17909
322	2160	17907
323	2166	17896
324	2172	17879
325	2178	17870
326	2184	17857
327	2190	17847
328	2196	17832
329	2202	17821
330	2209	17812
331	2215	17802
332	2220	17786
333	2228	17784
334	2235	17782
335	2241	17771
